DOY,Ta (C),Tmax (C),RH (%),wind_speed (ms-1),wind_dir (Deg),precip (mm)
1,-5.73,-4.00,69.63,4.18,254.28,0
2,-5.35,-1.00,80.17,4.17,254.59,0
3,-3.83,0.00,87.62,3.81,242.97,0
4,-1.54,-0.50,78.05,7.75,248.08,0
5,-0.17,3.50,83.62,4.34,228.29,0
6,0.95,2.50,96.01,4.19,235.09,0.25
7,-3.52,1.10,87.13,4.3,229.78,0
8,-1.21,5.00,90.33,2.58,233.5,0
9,1.4,7.00,83.45,6.03,253.89,0
10,2.08,7.00,80.84,2.98,202.23,0
11,3.48,9.00,100.16,3.19,136.11,4.83
12,8.07,14.50,99.93,2.95,204.98,0
13,9.61,15.50,100.73,3.18,192.98,31.75
14,-0.26,0.50,83.16,5.59,263.7,0.76
15,-2.8,1.30,77.29,2.66,263.25,0
16,-0.43,4.00,78.04,3.7,250.65,0
17,-5.44,-6.20,78.01,5.19,139.49,0.51
18,-7.07,4.00,80.3,4.29,237.27,0
19,4.6,8.00,71.7,7,232.38,0.25
20,-3.04,-3.00,76.1,9.23,264.11,1.02
21,-8.11,-5.00,67.11,5.32,256.4,0
22,-12.85,-11.50,72.73,6.31,252.59,0
23,-14.28,-9.00,75.3,2.6,236.94,0
24,-12.63,-9.00,71.79,3.74,237.53,0
25,-10.12,-7.20,87.6,1.73,198.83,2.29
26,-7.48,-2.00,84.05,2.14,265.65,0
27,-6.57,0.00,87.36,2.75,216.72,0
28,0.29,4.00,100.37,2.6,178.33,9.14
29,1.6,15.00,103.96,2.35,158.91,19.05
30,9.31,15.00,100.99,5.31,211.79,2.54
31,-1.95,-3.00,76.51,9.75,253.29,0.51
32,-7.32,-5.00,70.27,5.56,263.38,0
33,-7.94,-5.00,78.87,4.48,254.75,0
34,-8.41,-4.90,78.63,3.21,258.35,0
35,-8.09,-5.20,78.57,3.98,267.36,0
36,-7.48,-3.00,77.51,3.37,260.27,0
37,-5.25,-2.00,70.5,4.41,260.06,0
38,-4.04,-1.60,90.79,6.74,137.47,2.03
39,-7.48,-7.00,99.5,6.56,119.2,34.8
40,-9.1,-2.00,97.96,2.82,209.54,0
41,-6.02,4.00,95.05,5.08,198.68,0
42,2.78,7.00,91.29,6.2,200.36,3.81
43,0.63,1.70,81.22,6.3,255.67,0
44,-1.48,1.50,78.11,2.91,256.48,0
45,-0.66,2.00,94.75,3.58,199.79,1.78
46,-1.73,-0.20,79.28,6.33,260.63,0
47,-6.38,-2.20,92.06,2.54,208.19,4.83
48,-12.22,-7.50,78.67,4.66,238.95,0
49,-7.42,4.00,80.61,4.48,206.15,0
50,0.24,4.00,91.23,6.91,196.88,9.14
51,-5.85,-4.80,73.91,8,264.46,0
52,-6.84,-1.60,71.95,5.42,185.69,0
53,-2.77,1.30,94.88,6.14,136.61,1.27
54,0.96,3.00,91.56,3.8,220.41,0
55,-0.22,2.00,84.53,4.62,264.91,0
56,0.76,3.00,84.01,2.57,234.07,0
57,1.15,1.00,89.5,9.59,99.96,16
58,0.74,1.00,103.85,6.61,91.91,32.51
59,1.12,3.50,98,2.84,202.93,2.79
60,-2.63,-0.70,81.09,5.41,180.19,0
61,-4.79,-0.50,79.94,4.7,157.54,0
62,-4.7,-1.50,74.4,4.98,222.22,0
63,-4.09,0.00,77.9,5.57,271.21,0
64,-3.48,1.00,83.8,5.66,176.96,0
65,1.58,4.00,83.64,5.11,95.45,0
